id	tweet	subtask_a	subtask_b	subtask_c
86426	@USER She should ask a few native Americans what their take on this is.	OFF	UNT	
90194	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL	OFF	TIN	IND
43605	@USER @USER Obama wanted liberals &amp; illegals to move into red states	NOT		
97670	@USER Liberals are all Kookoo !!!	OFF	TIN	OTH
45157	@USER Buy more icecream!!!	NOT		
13384	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo	OFF	TIN	IND
42992	@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL	NOT		
54920	@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!	NOT		
86735	@USER you are also the king of taste	NOT		
95686	#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL	NOT		
23958	@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂	NOT		
28195	@USER @USER @USER gun control! That is all these kids are asking for!	OFF	TIN	OTH
67757	@USER @USER You are correct.	NOT		
77665	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF	TIN	IND
83484	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""	NOT		
74932	@USER @USER You can tell he is a hooper too	NOT		
25440	@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	OFF	UNT	
82333	@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	NOT		
12609	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF	TIN	GRP
13017	@USER No wonder he is being apologetic and more social these day....	NOT		
70380	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	NOT		
12108	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	OFF	TIN	IND
14726	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	OFF	TIN	GRP
74358	@USER Blow hard	NOT		
40212	"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""	NOT		
78367	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	NOT		
36026	"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"""	NOT		
29439	@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀	NOT		
32305	@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic	NOT		
77243	@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	NOT		
47311	@USER Me too! Her wedding was the best! She is very pretty!	NOT		
48553	@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.	NOT		
84102	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	OFF	TIN	GRP
43913	@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?	NOT		
92056	@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion	NOT		
75215	@USER @USER She is useless.  Attempts to do the right thing but never follows through.	OFF	TIN	IND
57013	@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	OFF	TIN	IND
20883	@USER You are lying. Stick with the facts. We pay more than that now.	NOT		
53264	@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	OFF	TIN	IND
28204	#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL	NOT		
84664	@USER And this from the clown that should be in prison?	OFF	TIN	IND
54842	@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL	NOT		
48995	@USER Thats because you are an old man.	OFF	TIN	IND
47153	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OFF	TIN	OTH
76826	"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either.."""	NOT		
64429	@USER I mean it worked for gun control right? URL	OFF	TIN	GRP
20943	@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.	NOT		
78064	@USER Principled conservatives are #Hypocrickets	NOT		
72353	@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️	NOT		
39051	@USER Bring out his Antifa criminal son to campaign for him	NOT		
75992	"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL"	NOT		
45068	@USER She is drinking so much koolaid she’s bloated.	OFF	TIN	IND
17259	@USER Holder needs to be prosecuted	NOT		
14574	*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*	NOT		
23784	@USER well...? URL	NOT		
93119	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	OFF	TIN	IND
69281	@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.	NOT		
15322	@USER Great news! Old moonbeam Just went into a coma! 😂	NOT		
21379	@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	OFF	TIN	IND
43133	@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.	NOT		
52102	@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	NOT		
44209	@USER @USER what a baby! URL	NOT		
96664	@USER you are very persuasive fam	NOT		
61914	@USER Burt. A cool dude.	NOT		
32317	#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.	NOT		
64835	@USER Kind of like what trump does all the time huh?	NOT		
41353	@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	NOT		
91001	@USER Good move....he is the big loser	OFF	TIN	IND
76680	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	NOT		
88013	@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	NOT		
80561	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	OFF	TIN	IND
49996	@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	NOT		
77086	@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	NOT		
28380	@USER @USER @USER well?	NOT		
40252	@USER @USER @USER First of all— they don’t even have pizza at Panera	NOT		
39907	@USER @USER @USER please don't kill me. antifa on the other hand...	OFF	TIN	IND
52824	@USER Good girl @USER	NOT		
77294	@USER @USER She is an ugly black hearted troll URL	OFF	TIN	IND
13420	@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	NOT		
16940	@USER Dont believe the hype.	OFF	UNT	
99156	#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	NOT		
11255	"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity."""""	NOT		
28841	@USER @USER We have been saved from you! MAGA!	OFF	TIN	IND
71682	@USER Good riddance.	NOT		
17577	@USER She is a goddess	NOT		
59998	"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""	OFF	TIN	IND
81119	@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	NOT		
